,id,sentiment_scores,number of reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,neighbourhood_cleansed
171,872247,0.305900826446281,121,99.0,10.0,10.0,10.0,10.0,9.0,10.0,$125.00,Lower West Side
172,873628,0.28701369863013704,73,99.0,10.0,9.0,10.0,10.0,10.0,10.0,$100.00,West Town
173,885614,0.29302500000000004,80,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$85.00,Uptown
174,887038,0.24033333333333332,33,85.0,9.0,9.0,9.0,9.0,10.0,9.0,$189.00,Lincoln Park
175,909096,0.29406000000000015,150,96.0,10.0,9.0,10.0,10.0,9.0,9.0,$250.00,Humboldt Park
176,915372,0.2996666666666667,21,99.0,10.0,10.0,10.0,10.0,9.0,10.0,$30.00,Hermosa
177,927327,0.34504999999999997,20,100.0,10.0,10.0,10.0,10.0,10.0,9.0,"$1,500.00",West Town
178,929914,0.29460122699386504,163,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$115.00,Lincoln Park
179,931105,0.25221052631578944,19,98.0,10.0,10.0,10.0,10.0,8.0,9.0,$75.00,East Garfield Park
180,934335,0.583,1,80.0,10.0,10.0,10.0,10.0,8.0,8.0,$100.00,North Center
181,949420,0.25966666666666666,6,92.0,9.0,9.0,10.0,9.0,8.0,9.0,$592.00,Uptown
182,956521,0.2661,10,91.0,9.0,9.0,9.0,9.0,10.0,9.0,$99.00,Lake View
183,956612,0.31327777777777777,36,94.0,9.0,9.0,10.0,10.0,10.0,10.0,$85.00,Lincoln Square
184,960326,0.316009900990099,101,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$302.00,West Town
185,969940,0.34687500000000004,8,90.0,9.0,9.0,9.0,10.0,8.0,9.0,$55.00,Woodlawn
186,979841,0.3058846153846153,104,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$69.00,Edgewater
187,979926,0.3209407407407407,135,99.0,10.0,10.0,10.0,10.0,10.0,10.0,$59.00,Rogers Park
188,979942,0.31234166666666663,120,97.0,10.0,10.0,10.0,10.0,9.0,10.0,$59.00,Rogers Park
189,983330,0.28827272727272724,11,93.0,9.0,10.0,10.0,10.0,8.0,9.0,$85.00,Woodlawn
190,983640,0.28565263157894755,95,98.0,10.0,10.0,10.0,10.0,10.0,10.0,$159.00,Rogers Park
191,984850,0.3331216216216218,74,97.0,10.0,10.0,10.0,10.0,10.0,9.0,$499.00,Near North Side
192,985292,0.2623076923076923,26,90.0,9.0,9.0,10.0,10.0,10.0,9.0,$129.00,North Center
193,1016539,0.2693121387283236,173,88.0,9.0,9.0,10.0,9.0,8.0,9.0,$119.00,West Town
194,1020810,0.30040000000000006,20,94.0,10.0,9.0,10.0,10.0,10.0,9.0,$170.00,Near North Side
195,1027405,0.2116,5,83.0,9.0,9.0,9.0,9.0,7.0,9.0,$45.00,North Lawndale
196,1027463,0.23866666666666667,3,80.0,9.0,7.0,10.0,10.0,8.0,9.0,$45.00,North Lawndale
197,1032943,0.2670825688073393,109,96.0,10.0,10.0,10.0,10.0,9.0,10.0,$275.00,Oakland
198,1056430,0.3147389162561576,203,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$79.00,Lake View
199,1066727,0.332375,56,93.0,9.0,9.0,10.0,10.0,9.0,9.0,$75.00,Albany Park
200,1080532,0.27264285714285713,14,93.0,10.0,10.0,9.0,10.0,10.0,10.0,$114.00,Lake View
201,1089455,0.30252427184466013,103,97.0,10.0,9.0,10.0,10.0,10.0,10.0,$75.00,Lincoln Park
202,1096191,0.22004347826086956,23,94.0,10.0,10.0,10.0,10.0,9.0,10.0,$50.00,Uptown
203,1101458,0.30604504504504493,111,94.0,10.0,9.0,10.0,10.0,9.0,10.0,$58.00,Austin
204,1113259,0.324,61,91.0,10.0,9.0,10.0,10.0,9.0,10.0,$55.00,Rogers Park
205,1127661,0.3001879699248122,133,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$59.00,Logan Square
206,1135388,0.27953846153846157,13,92.0,9.0,9.0,10.0,10.0,9.0,9.0,$249.00,Logan Square
207,1138514,0.24772727272727268,11,87.0,9.0,9.0,9.0,9.0,9.0,9.0,$59.00,Rogers Park
208,1141045,0.31504186046511634,215,96.0,10.0,10.0,10.0,10.0,10.0,10.0,$54.00,Lake View
209,1147424,0.2784166666666667,24,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$120.00,Near North Side
210,1150221,0.2786285714285715,35,90.0,9.0,9.0,10.0,10.0,10.0,9.0,$153.00,Uptown
211,1157026,0.26961904761904765,42,87.0,9.0,9.0,9.0,9.0,8.0,8.0,$95.00,Lower West Side
212,1166640,0.3604285714285714,28,96.0,10.0,10.0,10.0,10.0,10.0,10.0,$80.00,Logan Square
213,1167242,0.2940625,32,91.0,9.0,9.0,10.0,10.0,10.0,9.0,$119.00,Lake View
214,1171860,0.3221273291925463,322,94.0,9.0,9.0,10.0,10.0,10.0,9.0,$99.00,Lincoln Park
215,1175278,0.2860000000000001,47,97.0,10.0,10.0,10.0,10.0,10.0,10.0,"$1,000.00",North Center
216,1183072,0.30542934782608705,184,97.0,10.0,10.0,10.0,10.0,10.0,10.0,$85.00,West Town
217,1183249,0.32069281045751613,306,93.0,9.0,9.0,10.0,10.0,10.0,9.0,$99.00,Lake View
218,1185749,0.3071333333333333,165,98.0,10.0,10.0,10.0,10.0,9.0,10.0,$99.00,Near West Side
219,1202623,0.2480545454545455,110,90.0,9.0,8.0,10.0,10.0,9.0,9.0,$80.00,Logan Square
220,1217096,0.2973031914893617,188,95.0,10.0,9.0,10.0,10.0,10.0,9.0,$95.00,Lake View
221,1229238,0.25697959183673474,49,83.0,9.0,8.0,10.0,10.0,8.0,8.0,$215.00,Portage Park
222,1229267,0.24159999999999998,5,83.0,9.0,9.0,10.0,10.0,9.0,8.0,$50.00,Portage Park
